"id","bug.id","treatment","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","suc.ovp","date.3","mass.3","date.in.hs","time.in.hs","time.hs","time.ths1.ovp","date.out.hs","time.out.hs","date.4","mass.4","date.5","mass.5","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","num.unem","load","date.end","mass.end","mongo.age","mongo.mass","instar.end","diss.wasp","diss.wasp.stage","mel","wand","pup","mass.wand","date.wand","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.em.j","date.ecl.j","date.end.j","date.wand.j","died","time.ovp.dec","time.in.hs.dec","time.hs.dec","time.ths1.ovp.dec","time.out.hs.dec","hr.hs","day.hs","tt3","inst3","tt4","inst4","tt5","ttem","ttend","ttem.w","ttecl","dt.coc","mass.end.all","class","ttend.all","ttwand"
17,"25.10_para_42.2_17","para",25,10,42,2,NA,"1/28/18","2/2/18",11:35:00,1,NA,"2/2/18",51.68,"2/2/18",11:36:00,13:00:00,"1:25","2/3/18",18:05:00,"2/5/18",251.29,"2/9/18",1221.92,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/23/18",13272.04,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,33,33,33,34,36,40,0,NA,54,NA,"0",11.5833333333333,11.6,13,1.41666666666667,18.0833333333333,30.4833333333333,1.27013888888889,5,3,8,4,12,NA,26,NA,NA,NA,13272.04,"mongo",26,NA
18,"25.10_para_40.3_18","para",25,10,40,3,NA,"1/28/18","2/2/18",11:46:00,1,NA,"2/2/18",73.8,"2/2/18",11:49:00,13:00:00,"1:14","2/4/18",19:30:00,"2/5/18",274.57,"2/9/18",1442.58,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/23/18",7236.48,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm. removed head capsule after molt to 5th",NA,0,28,33,33,33,35,36,40,0,NA,54,NA,"0",11.7666666666667,11.8166666666667,13,1.23333333333333,19.5,55.6833333333333,2.32013888888889,5,3,8,4,12,NA,26,NA,NA,NA,7236.48,"mongo",26,NA
21,"25.10_para_42.4_21","para",25,10,42,4,NA,"1/28/18","2/2/18",12:32:00,1,NA,"2/2/18",64.68,"2/2/18",12:35:00,13:00:00,"0:28","2/5/18",19:20:00,"2/5/18",248.97,"2/9/18",1638.18,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/23/18",18960.33,1,1,5,NA,NA,NA,0,NA,NA,NA,"mass 5 taken in pm",NA,0,28,33,33,33,36,36,40,0,NA,54,NA,"0",12.5333333333333,12.5833333333333,13,0.466666666666667,19.3333333333333,78.75,3.28125,5,3,8,4,12,NA,26,NA,NA,NA,18960.33,"mongo",26,NA
22,"25.10_para_40.1_22","para",25,10,40,1,NA,"1/28/18","2/2/18",10:50:00,1,NA,"2/2/18",68.37,"2/2/18",10:52:00,13:00:00,"2:10","2/2/18",19:10:00,"2/5/18",219.49,"2/11/18",974.14,"2/21/18",5,1,1297.01,1,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"1",0.5,0,NA,NA,NA,"mass 4 taken in pm. bled heavily at wasp emergence","wasp larvae were all early or late firsts, as far as I could tell. None that looked ready to emerge. maybe a few mel plaques",0,28,33,33,33,33,36,42,52,NA,0,NA,"0",10.8333333333333,10.8666666666667,13,2.16666666666667,19.1666666666667,8.3,0.345833333333333,5,3,8,6,14,24,NA,19,NA,NA,1297.01,"em",24,NA
23,"25.10_para_42.1_23","para",25,10,42,1,NA,"1/28/18","2/2/18",11:05:00,2,NA,"2/2/18",71.1,"2/2/18",11:07:00,13:00:00,"1:55","2/2/18",19:10:00,"2/6/18",147.61,"2/11/18",589.26,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/25/18",1149.45,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. removed cuticle from 5th prolegs after molt to 5th",NA,0,28,33,33,33,33,37,42,0,NA,56,NA,"0",11.0833333333333,11.1166666666667,13,1.91666666666667,19.1666666666667,8.05,0.335416666666667,5,4,9,5,14,NA,28,NA,NA,NA,1149.45,"mongo",28,NA
24,"25.10_para_40.2_24","para",25,10,40,2,NA,"1/28/18","2/2/18",11:21:00,3,NA,"2/2/18",36.56,"2/2/18",11:24:00,13:00:00,"1:39","2/3/18",18:05:00,"2/5/18",192.83,"2/9/18",826.58,"2/16/18",5,0,1506.13,4,1,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm. no wasp eclosion after 4 weeks",NA,0,28,33,33,33,34,36,40,47,NA,0,NA,"0",11.35,11.4,13,1.65,18.0833333333333,30.6833333333333,1.27847222222222,5,3,8,4,12,19,NA,14,NA,NA,1506.13,"em",19,NA
25,"25.10_para_42.2_25","para",25,10,42,2,NA,"1/28/18","2/2/18",11:34:00,1,NA,"2/2/18",49.73,"2/2/18",11:36:00,13:00:00,"1:26","2/3/18",18:05:00,"2/6/18",238.43,"2/11/18",1310.57,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/25/18",10707.35,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,34,37,42,0,NA,56,NA,"0",11.5666666666667,11.6,13,1.43333333333333,18.0833333333333,30.4833333333333,1.27013888888889,5,4,9,5,14,NA,28,NA,NA,NA,10707.35,"mongo",28,NA
26,"25.10_para_40.3_26","para",25,10,40,3,NA,"1/28/18","2/2/18",11:45:00,1,NA,"2/2/18",60.75,"2/2/18",11:49:00,13:00:00,"1:15","2/4/18",19:30:00,"2/5/18",87.45,"2/11/18",558.6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,14094.62,"2/23/18","mass 4 taken in pm. molted to 6th instar 2/16/18. Mass: 2473.42, wandered 2/23/18. Mass:14094.62. put in puation box. pupated 3/1/18. frozen as pupa for dissection",NA,0,28,33,33,33,35,36,42,0,NA,0,54,"0",11.75,11.8166666666667,13,1.25,19.5,55.6833333333333,2.32013888888889,5,3,8,6,14,NA,NA,NA,NA,NA,14094.62,"wand",26,26
29,"25.10_para_42.4_29","para",25,10,42,4,NA,"1/28/18","2/2/18",12:31:00,1,NA,"2/2/18",68.76,"2/2/18",12:35:00,13:00:00,"0:29","2/5/18",19:20:00,"2/5/18",177.59,"2/9/18",640.31,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/23/18",8899.95,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,33,33,33,36,36,40,0,NA,54,NA,"0",12.5166666666667,12.5833333333333,13,0.483333333333333,19.3333333333333,78.75,3.28125,5,3,8,4,12,NA,26,NA,NA,NA,8899.95,"mongo",26,NA
30,"25.10_para_0.0_30","para",25,10,0,0,NA,"1/28/18","2/2/18",13:14:00,1,NA,"2/2/18",77.85,NA,NA,NA,NA,NA,NA,"2/6/18",230.19,NA,NA,"2/15/18",4,0,886.35,7,7,0,"2/21/18",7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. tight head capsule at wasp emergence, looks like its going to molt, keeping for observation instead of freezing. On 2/19/18 bug did molt, not very well, froze on 2/19/18.",NA,0,28,33,33,NA,NA,37,NA,46,52,0,NA,"0",13.2333333333333,NA,NA,NA,NA,NA,NA,5,4,9,NA,NA,18,NA,13,19,6,886.35,"em",18,NA
