"id","hs.temp","hs.num","instar","bug.id","treatment","temp.avg","temp.var","date.died","date.hatch","date.ovp","time.ovp","num.ovp","suc.ovp","date.3","date.in.hs","time.in.hs","time.hs","time.ths1.ovp","date.out.hs","time.out.hs","date.4","date.5","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","num.unem","load","date.end","mass.end","mongo.age","mongo.mass","instar.end","diss.wasp","diss.wasp.stage","mel","wand","pup","mass.wand","date.wand","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.em.j","date.ecl.j","date.end.j","date.wand.j","died","time.ovp.dec","time.in.hs.dec","time.hs.dec","time.ths1.ovp.dec","time.out.hs.dec","hr.hs","day.hs","tt3","inst3","tt4","inst4","tt5","ttem","ttend","ttem.w","ttecl","dt.coc","class","ttend.all","ttwand","mass","day.age"
102,42,3,"5","25.10_para_42.3_102","para",25,10,NA,"1/28/18","2/3/18",11:09:00,1,NA,"2/3/18","2/3/18",11:12:00,13:00:00,"1:51","2/5/18",19:20:00,"2/6/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",9195.54,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,34,34,34,36,37,43,0,NA,57,NA,"0",11.15,11.2,13,1.85,19.3333333333333,56.1333333333333,2.33888888888889,6,3,9,6,15,NA,29,NA,NA,NA,"mongo",29,NA,790.28,15
102,42,3,"end.all","25.10_para_42.3_102","para",25,10,NA,"1/28/18","2/3/18",11:09:00,1,NA,"2/3/18","2/3/18",11:12:00,13:00:00,"1:51","2/5/18",19:20:00,"2/6/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",9195.54,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,34,34,34,36,37,43,0,NA,57,NA,"0",11.15,11.2,13,1.85,19.3333333333333,56.1333333333333,2.33888888888889,6,3,9,6,15,NA,29,NA,NA,NA,"mongo",29,NA,9195.54,29
105,40,1,"3","25.10_para_40.1_105","para",25,10,NA,"1/28/18","2/3/18",10:53:00,1,NA,"2/3/18","2/3/18",11:00:00,13:00:00,"2:07","2/3/18",18:05:00,"2/7/18","2/12/18","2/18/18",5,1,614.63,6,5,1,"2/24/18",5,24,30,NA,NA,NA,NA,NA,1,"all",0,0,NA,NA,NA,"mass 4 and 5 taken in pm","found wasp larvae at all stages: eggs, 1sts and 2nds. Slide dried out before I could examine well under scope, but some looked deformed, some looked like they were still within an egg casing.",0,28,34,34,34,34,38,43,49,55,0,NA,"0",10.8833333333333,11,13,2.11666666666667,18.0833333333333,7.08333333333333,0.295138888888889,6,4,10,5,15,21,NA,15,21,6,"em",21,NA,46.14,6
105,40,1,"4","25.10_para_40.1_105","para",25,10,NA,"1/28/18","2/3/18",10:53:00,1,NA,"2/3/18","2/3/18",11:00:00,13:00:00,"2:07","2/3/18",18:05:00,"2/7/18","2/12/18","2/18/18",5,1,614.63,6,5,1,"2/24/18",5,24,30,NA,NA,NA,NA,NA,1,"all",0,0,NA,NA,NA,"mass 4 and 5 taken in pm","found wasp larvae at all stages: eggs, 1sts and 2nds. Slide dried out before I could examine well under scope, but some looked deformed, some looked like they were still within an egg casing.",0,28,34,34,34,34,38,43,49,55,0,NA,"0",10.8833333333333,11,13,2.11666666666667,18.0833333333333,7.08333333333333,0.295138888888889,6,4,10,5,15,21,NA,15,21,6,"em",21,NA,100.26,10
105,40,1,"5","25.10_para_40.1_105","para",25,10,NA,"1/28/18","2/3/18",10:53:00,1,NA,"2/3/18","2/3/18",11:00:00,13:00:00,"2:07","2/3/18",18:05:00,"2/7/18","2/12/18","2/18/18",5,1,614.63,6,5,1,"2/24/18",5,24,30,NA,NA,NA,NA,NA,1,"all",0,0,NA,NA,NA,"mass 4 and 5 taken in pm","found wasp larvae at all stages: eggs, 1sts and 2nds. Slide dried out before I could examine well under scope, but some looked deformed, some looked like they were still within an egg casing.",0,28,34,34,34,34,38,43,49,55,0,NA,"0",10.8833333333333,11,13,2.11666666666667,18.0833333333333,7.08333333333333,0.295138888888889,6,4,10,5,15,21,NA,15,21,6,"em",21,NA,417.44,15
105,40,1,"end.all","25.10_para_40.1_105","para",25,10,NA,"1/28/18","2/3/18",10:53:00,1,NA,"2/3/18","2/3/18",11:00:00,13:00:00,"2:07","2/3/18",18:05:00,"2/7/18","2/12/18","2/18/18",5,1,614.63,6,5,1,"2/24/18",5,24,30,NA,NA,NA,NA,NA,1,"all",0,0,NA,NA,NA,"mass 4 and 5 taken in pm","found wasp larvae at all stages: eggs, 1sts and 2nds. Slide dried out before I could examine well under scope, but some looked deformed, some looked like they were still within an egg casing.",0,28,34,34,34,34,38,43,49,55,0,NA,"0",10.8833333333333,11,13,2.11666666666667,18.0833333333333,7.08333333333333,0.295138888888889,6,4,10,5,15,21,NA,15,21,6,"em",21,NA,614.63,21
106,42,1,"3","25.10_para_42.1_106","para",25,10,NA,"1/28/18","2/3/18",10:57:00,1,NA,"2/3/18","2/3/18",11:00:00,13:00:00,"2:03","2/3/18",18:05:00,"2/6/18","2/11/18","2/17/18",5,0,2104.13,3,1,2,NA,NA,11,14,NA,NA,NA,NA,NA,1,"all",0.5,0,NA,NA,NA,"mass 4 taken in pm. no wasp eclosion afer 4 weeks","wasp larvae mostly larger 1sts or 2nds. Not sure if firsts, hard to stage when covered in host tissue. Not sure about mel, caterpillar sat out too long before I started dissecting it.",0,28,34,34,34,34,37,42,48,NA,0,NA,"0",10.95,11,13,2.05,18.0833333333333,7.08333333333333,0.295138888888889,6,3,9,5,14,20,NA,14,NA,NA,"em",20,NA,74.06,6
106,42,1,"4","25.10_para_42.1_106","para",25,10,NA,"1/28/18","2/3/18",10:57:00,1,NA,"2/3/18","2/3/18",11:00:00,13:00:00,"2:03","2/3/18",18:05:00,"2/6/18","2/11/18","2/17/18",5,0,2104.13,3,1,2,NA,NA,11,14,NA,NA,NA,NA,NA,1,"all",0.5,0,NA,NA,NA,"mass 4 taken in pm. no wasp eclosion afer 4 weeks","wasp larvae mostly larger 1sts or 2nds. Not sure if firsts, hard to stage when covered in host tissue. Not sure about mel, caterpillar sat out too long before I started dissecting it.",0,28,34,34,34,34,37,42,48,NA,0,NA,"0",10.95,11,13,2.05,18.0833333333333,7.08333333333333,0.295138888888889,6,3,9,5,14,20,NA,14,NA,NA,"em",20,NA,240.16,9
106,42,1,"5","25.10_para_42.1_106","para",25,10,NA,"1/28/18","2/3/18",10:57:00,1,NA,"2/3/18","2/3/18",11:00:00,13:00:00,"2:03","2/3/18",18:05:00,"2/6/18","2/11/18","2/17/18",5,0,2104.13,3,1,2,NA,NA,11,14,NA,NA,NA,NA,NA,1,"all",0.5,0,NA,NA,NA,"mass 4 taken in pm. no wasp eclosion afer 4 weeks","wasp larvae mostly larger 1sts or 2nds. Not sure if firsts, hard to stage when covered in host tissue. Not sure about mel, caterpillar sat out too long before I started dissecting it.",0,28,34,34,34,34,37,42,48,NA,0,NA,"0",10.95,11,13,2.05,18.0833333333333,7.08333333333333,0.295138888888889,6,3,9,5,14,20,NA,14,NA,NA,"em",20,NA,1042.41,14
106,42,1,"end.all","25.10_para_42.1_106","para",25,10,NA,"1/28/18","2/3/18",10:57:00,1,NA,"2/3/18","2/3/18",11:00:00,13:00:00,"2:03","2/3/18",18:05:00,"2/6/18","2/11/18","2/17/18",5,0,2104.13,3,1,2,NA,NA,11,14,NA,NA,NA,NA,NA,1,"all",0.5,0,NA,NA,NA,"mass 4 taken in pm. no wasp eclosion afer 4 weeks","wasp larvae mostly larger 1sts or 2nds. Not sure if firsts, hard to stage when covered in host tissue. Not sure about mel, caterpillar sat out too long before I started dissecting it.",0,28,34,34,34,34,37,42,48,NA,0,NA,"0",10.95,11,13,2.05,18.0833333333333,7.08333333333333,0.295138888888889,6,3,9,5,14,20,NA,14,NA,NA,"em",20,NA,2104.13,20
108,42,3,"3","25.10_para_42.3_108","para",25,10,NA,"1/29/18","2/4/18",10:38:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:22","2/6/18",21:00:00,"2/8/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",17448.66,1,1,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,29,35,35,35,37,39,43,0,NA,57,NA,"0",10.6333333333333,10.85,13,2.36666666666667,21,58.15,2.42291666666667,6,4,10,4,14,NA,28,NA,NA,NA,"mongo",28,NA,46.84,6
