"bug.id","treatment","temp.avg","temp.var","instar","day.age","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.laid.j","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","waspdev.tot","waspdev.int","stsp.llsurv","stsp.pupsurv","tot.elsurv","tot.llsurv","tot.surv","timeto3","timeto4","timeto5","int3","ttwand","ttem","date.coll.j","coll.loc","pop","diet","end","int5","use","int4","ttend","mass"
"25.0_c_15","control","25","0","3",6,11161.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,164,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,14,5,18,NA,NA,NA,"lab","col",171,4,1,3,18,53.06
"25.0_c_15","control","25","0","4",11,11161.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,164,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,14,5,18,NA,NA,NA,"lab","col",171,4,1,3,18,603.02
"25.0_c_15","control","25","0","5",14,11161.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,164,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,14,5,18,NA,NA,NA,"lab","col",171,4,1,3,18,1892.56
"25.0_c_15","control","25","0","end",18,11161.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,164,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,14,5,18,NA,NA,NA,"lab","col",171,4,1,3,18,11161.43
"25.0_c_16","control","25","0","3",6,10825.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",170,4,1,4,17,75.96
"25.0_c_16","control","25","0","4",9,10825.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",170,4,1,4,17,305.71
"25.0_c_16","control","25","0","5",13,10825.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",170,4,1,4,17,2517.37
"25.0_c_16","control","25","0","end",17,10825.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",170,4,1,4,17,10825.62
"25.0_c_18","control","25","0","3",6,8545.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,164,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,14,5,19,NA,NA,NA,"lab","col",172,5,1,3,19,52.35
"25.0_c_18","control","25","0","4",11,8545.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,164,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,14,5,19,NA,NA,NA,"lab","col",172,5,1,3,19,741.61
